Wavelength	A1	A5
1814	0.025553546	0.01038331
1816	0.024473759	0.009850651
1818	0.025478466	0.009732392
1820	0.02830469	0.0094965
1822	0.030976353	0.009828881
1824	0.030529883	0.009660432
1826	0.030123931	0.009971022
1828	0.030761877	0.010406898
1830	0.03226527	0.010895259
1832	0.03380909	0.01187855
1834	0.034587578	0.012580626
1836	0.036270265	0.012966932
1838	0.038274356	0.013184793
1840	0.039322363	0.01352611
1842	0.041010316	0.014250448
1844	0.04284282	0.014887377
1846	0.04558093	0.016115365
1848	0.049768073	0.017251658
1850	0.054050753	0.018188454
1852	0.06178859	0.020107804
1854	0.066951886	0.022065258
1856	0.071851637	0.023255185
1858	0.075049172	0.024242246
1860	0.075516634	0.024874369
1862	0.077535541	0.025151249
1864	0.075500476	0.024247768
1866	0.072968799	0.023056694
1868	0.069607215	0.020976267
1870	0.066312704	0.018863508
1872	0.065707575	0.018039971
1874	0.061585431	0.016996795
1876	0.059805985	0.016295552
1878	0.057603558	0.015821023
1880	0.057816215	0.01586908
1882	0.05943734	0.016601811
1884	0.060492223	0.016643633
1886	0.061509675	0.017030708
1888	0.064452149	0.017406719
1890	0.06525987	0.017657899
1892	0.065975869	0.018581529
1894	0.065703095	0.019149177
1896	0.066513705	0.019971383
1898	0.066690451	0.02048318
1900	0.067515283	0.020642843
1902	0.067173001	0.020695134
1904	0.067020242	0.020233748
1906	0.065731483	0.019607368
1908	0.063490723	0.018957911
1910	0.061033617	0.018356582
1912	0.058028542	0.017754165
1914	0.056977994	0.01718068
1916	0.05591135	0.016610009
1918	0.056435671	0.016187439
1920	0.056504161	0.015903125
1922	0.055665828	0.015859963
1924	0.05472931	0.015443785
1926	0.055113602	0.015474393
1928	0.055035307	0.015759465
1930	0.054992377	0.015690372
1932	0.05365012	0.01527533
1934	0.052420628	0.014633153
1936	0.050730281	0.013878562
1938	0.051059057	0.013713884
1940	0.049709966	0.013953504
1942	0.048483753	0.013746095
1944	0.04727741	0.013212888
1946	0.048511276	0.014322035
1948	0.049230238	0.014737074
1950	0.050800834	0.014771291
1952	0.053060765	0.01550498
1954	0.054325042	0.015468809
1956	0.056254927	0.015546874
1958	0.058504085	0.015995352
1960	0.058375672	0.016198574
1962	0.058713186	0.016120023
1964	0.058460471	0.016212575
1966	0.057687081	0.016727686
1968	0.054708438	0.016763471
1970	0.05608742	0.016491913
1972	0.055648592	0.016394612
1974	0.054996882	0.016280633
1976	0.053396881	0.01589555
1978	0.053684325	0.016140398
1980	0.050944303	0.015759581
1982	0.050708912	0.015612805
1984	0.049289179	0.015629685
1986	0.049346532	0.015824062
1988	0.049407021	0.015971055
1990	0.049878104	0.016042903
1992	0.049998448	0.016025279
1994	0.051666348	0.016374606
1996	0.053379751	0.016600387
1998	0.056485694	0.01725184
2000	0.056138313	0.017019032
